Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Charltons,7835,100.0,https://publish.bus-data.dft.gov.uk/org/600/dataset/avl/7835/download-matching-report/
First Bus,7836,97.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7836/download-matching-report/
First Bus,7842,89.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7842/download-matching-report/
Sullivan Buses,7858,12.0,https://publish.bus-data.dft.gov.uk/org/244/dataset/avl/7858/download-matching-report/
PC Coaches,7861,22.0,https://publish.bus-data.dft.gov.uk/org/100/dataset/avl/7861/download-matching-report/
Kinch Buses,7865,27.0,https://publish.bus-data.dft.gov.uk/org/194/dataset/avl/7865/download-matching-report/
Rotala Group of Companies,7869,90.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7869/download-matching-report/
Rotala Group of Companies,7870,97.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/7870/download-matching-report/
Hunts Coaches,7873,0.0,https://publish.bus-data.dft.gov.uk/org/98/dataset/avl/7873/download-matching-report/
White Bus,7883,52.0,https://publish.bus-data.dft.gov.uk/org/246/dataset/avl/7883/download-matching-report/
First Bus,7889,21.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7889/download-matching-report/
Ipswich Buses,7898,38.0,https://publish.bus-data.dft.gov.uk/org/127/dataset/avl/7898/download-matching-report/
First Bus,7900,81.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7900/download-matching-report/
Sleafordian,7901,70.0,https://publish.bus-data.dft.gov.uk/org/101/dataset/avl/7901/download-matching-report/
Uno,7907,92.0,https://publish.bus-data.dft.gov.uk/org/22/dataset/avl/7907/download-matching-report/
Uno,7908,0.0,https://publish.bus-data.dft.gov.uk/org/22/dataset/avl/7908/download-matching-report/
WNCT LTD,7916,98.0,https://publish.bus-data.dft.gov.uk/org/71/dataset/avl/7916/download-matching-report/
Blackburn Private Hire,7918,100.0,https://publish.bus-data.dft.gov.uk/org/382/dataset/avl/7918/download-matching-report/
Coastliner Buses,7920,40.0,https://publish.bus-data.dft.gov.uk/org/300/dataset/avl/7920/download-matching-report/
Grayline Coaches,7922,100.0,https://publish.bus-data.dft.gov.uk/org/250/dataset/avl/7922/download-matching-report/
Transport Connect,7924,89.0,https://publish.bus-data.dft.gov.uk/org/102/dataset/avl/7924/download-matching-report/
trentbarton,7949,26.0,https://publish.bus-data.dft.gov.uk/org/9/dataset/avl/7949/download-matching-report/
First Bus,7961,80.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/7961/download-matching-report/
Go-Ahead,7996,79.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/7996/download-matching-report/
Thames Valley Buses,8008,92.0,https://publish.bus-data.dft.gov.uk/org/234/dataset/avl/8008/download-matching-report/
Oakleys Coaches,8012,0.0,https://publish.bus-data.dft.gov.uk/org/493/dataset/avl/8012/download-matching-report/
Craig of Campbeltown Ltd,8022,3.0,https://publish.bus-data.dft.gov.uk/org/76/dataset/avl/8022/download-matching-report/
Wright Bros Coaches,8026,,
A Lyles & Son,8032,100.0,https://publish.bus-data.dft.gov.uk/org/292/dataset/avl/8032/download-matching-report/
AC Williams,8039,,
Minsterley Motors Ltd,8042,83.0,https://publish.bus-data.dft.gov.uk/org/140/dataset/avl/8042/download-matching-report/
Newport Transport Ltd,8048,100.0,https://publish.bus-data.dft.gov.uk/org/696/dataset/avl/8048/download-matching-report/
L & G Coaches,8053,,
Tanat Valley Coaches,8056,0.0,https://publish.bus-data.dft.gov.uk/org/317/dataset/avl/8056/download-matching-report/
Sargeants Bros. Coaches Ltd,8069,0.0,https://publish.bus-data.dft.gov.uk/org/139/dataset/avl/8069/download-matching-report/
Go-Ahead,8071,75.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/8071/download-matching-report/
Bennetts Travel,8078,,
Ellenvale Coaches,8080,0.0,https://publish.bus-data.dft.gov.uk/org/207/dataset/avl/8080/download-matching-report/
Ensign Bus,8082,63.0,https://publish.bus-data.dft.gov.uk/org/18/dataset/avl/8082/download-matching-report/
Our Bus,8083,10.0,https://publish.bus-data.dft.gov.uk/org/186/dataset/avl/8083/download-matching-report/
Phil Haines Coaches,8113,,
West Berkshire Council,8119,96.0,https://publish.bus-data.dft.gov.uk/org/259/dataset/avl/8119/download-matching-report/
Cardinal Buses,8131,,
Sullivan Buses,8136,7.0,https://publish.bus-data.dft.gov.uk/org/244/dataset/avl/8136/download-matching-report/
Notts & Derby Traction Co. Limited,8140,58.0,https://publish.bus-data.dft.gov.uk/org/74/dataset/avl/8140/download-matching-report/
Regent Coaches,8158,0.0,https://publish.bus-data.dft.gov.uk/org/82/dataset/avl/8158/download-matching-report/
Aston Coaches,8172,42.0,https://publish.bus-data.dft.gov.uk/org/159/dataset/avl/8172/download-matching-report/
Moving People,8214,0.0,https://publish.bus-data.dft.gov.uk/org/383/dataset/avl/8214/download-matching-report/
Richmonds Coaches,8230,77.0,https://publish.bus-data.dft.gov.uk/org/87/dataset/avl/8230/download-matching-report/
London Vintage Bus Hire (trading as The London Bus Company),8241,0.0,https://publish.bus-data.dft.gov.uk/org/130/dataset/avl/8241/download-matching-report/
Harrogate Coach Travel Ltd,8262,1.0,https://publish.bus-data.dft.gov.uk/org/30/dataset/avl/8262/download-matching-report/
Mil-Ken Travel,8270,100.0,https://publish.bus-data.dft.gov.uk/org/913/dataset/avl/8270/download-matching-report/
HCT Group,8292,,
Whippet Coaches,8295,96.0,https://publish.bus-data.dft.gov.uk/org/114/dataset/avl/8295/download-matching-report/
Feline Executive Travel,8296,83.0,https://publish.bus-data.dft.gov.uk/org/190/dataset/avl/8296/download-matching-report/
Pauls Travel,8303,0.0,https://publish.bus-data.dft.gov.uk/org/295/dataset/avl/8303/download-matching-report/
Red Rose Travel,8350,67.0,https://publish.bus-data.dft.gov.uk/org/251/dataset/avl/8350/download-matching-report/
Britannia Luxury Coaches,8373,,
Coach Events Services Ltd,8375,,
First & Last Mile,8377,0.0,https://publish.bus-data.dft.gov.uk/org/897/dataset/avl/8377/download-matching-report/
Lee Woad T/A Sweynes,8378,,
C G Myall & Son,8389,0.0,https://publish.bus-data.dft.gov.uk/org/119/dataset/avl/8389/download-matching-report/
A & J Coaches,8392,,
Cresta Coaches,8420,0.0,https://publish.bus-data.dft.gov.uk/org/451/dataset/avl/8420/download-matching-report/
Pilkingtonbus,8467,46.0,https://publish.bus-data.dft.gov.uk/org/296/dataset/avl/8467/download-matching-report/
First Bus,8580,90.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/8580/download-matching-report/
Hornsby Travel Ltd,805,90.0,https://publish.bus-data.dft.gov.uk/org/219/dataset/avl/805/download-matching-report/
Vectare,7693,82.0,https://publish.bus-data.dft.gov.uk/org/225/dataset/avl/7693/download-matching-report/
Marshopper Ltd,8859,,
Royal Buses,8920,,
Gem Travel,9022,0.0,https://publish.bus-data.dft.gov.uk/org/703/dataset/avl/9022/download-matching-report/
First Bus,9088,94.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/9088/download-matching-report/
Ashcrofts Mini Travel,9091,,
Coastal & Country Coaches,9110,,
Chepstow Classic Buses,9135,,
Gateshead Central Taxis,4794,0.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/4794/download-matching-report/
Rotala Group of Companies,9189,85.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/9189/download-matching-report/
Lakeland Commercials,3960,0.0,https://publish.bus-data.dft.gov.uk/org/211/dataset/avl/3960/download-matching-report/
Go-Ahead,9264,89.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/9264/download-matching-report/
Gateshead Central Taxis,9419,0.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/9419/download-matching-report/
Stotts Tours,9435,22.0,https://publish.bus-data.dft.gov.uk/org/197/dataset/avl/9435/download-matching-report/
Gateshead Central Taxis,9442,0.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/9442/download-matching-report/
Stotts Tours,9445,33.0,https://publish.bus-data.dft.gov.uk/org/197/dataset/avl/9445/download-matching-report/
Stotts Tours,6230,23.0,https://publish.bus-data.dft.gov.uk/org/197/dataset/avl/6230/download-matching-report/
Stotts Tours,9484,23.0,https://publish.bus-data.dft.gov.uk/org/197/dataset/avl/9484/download-matching-report/
Galleon Travel (trading as Trustybus/Central Connect),9529,55.0,https://publish.bus-data.dft.gov.uk/org/125/dataset/avl/9529/download-matching-report/
Ross Travel,9544,0.0,https://publish.bus-data.dft.gov.uk/org/389/dataset/avl/9544/download-matching-report/
TLC Travel Ltd,9608,62.0,https://publish.bus-data.dft.gov.uk/org/392/dataset/avl/9608/download-matching-report/
Brian Jones Coaches,9619,,
Lucketts Travel,9730,,
A-Line Coaches,9752,61.0,https://publish.bus-data.dft.gov.uk/org/533/dataset/avl/9752/download-matching-report/
N.N. Cresswell,9754,,
The Green Bus,9795,,
St Ives Bus Co Ltd,9845,0.0,https://publish.bus-data.dft.gov.uk/org/885/dataset/avl/9845/download-matching-report/
Gateshead Central Taxis,9876,0.0,https://publish.bus-data.dft.gov.uk/org/838/dataset/avl/9876/download-matching-report/
Squarepeg,9944,82.0,https://publish.bus-data.dft.gov.uk/org/573/dataset/avl/9944/download-matching-report/
First Bus,9950,85.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/9950/download-matching-report/
Altonian Coaches Limted,10032,90.0,https://publish.bus-data.dft.gov.uk/org/928/dataset/avl/10032/download-matching-report/
Yorkshire Travel Group Ltd t/a Yorkshire Buses,10033,20.0,https://publish.bus-data.dft.gov.uk/org/934/dataset/avl/10033/download-matching-report/
Stagecoach,10058,60.0,https://publish.bus-data.dft.gov.uk/org/15/dataset/avl/10058/download-matching-report/
